company_id,company_name,industry,incorporation_date,company_age_months,postcode,loan_amount,num_employees,default_base_rate
SME-00033,Company 33,Hospitality,2016-02-21,47,72A7 4AE,5995.32,33,0.22
SME-00034,Company 34,Healthcare,2011-03-19,107,63D8 1DA,3804.23,4,0.08
SME-00035,Company 35,Construction,2018-03-12,22,76D9 8DD,18120.53,4,0.16
SME-00036,Company 36,Professional Services,2019-04-06,9,96E3 5CB,19670.69,2,0.1
SME-00037,Company 37,Construction,2014-11-28,62,88A5 6BA,719333.67,29,0.16
SME-00038,Company 38,Retail,2019-08-04,5,60A2 3CA,55983.1,2,0.18
SME-00039,Company 39,Technology,2019-08-04,5,83A4 6CD,29103.21,8,0.12
SME-00040,Company 40,Retail,2019-06-05,7,79E5 1CA,22028.7,70,0.18
SME-00041,Company 41,Retail,2019-01-06,12,28A1 4EC,34996.94,3,0.18
SME-00042,Company 42,Healthcare,2019-11-02,2,69A8 8EE,39189.81,3,0.08
SME-00043,Company 43,Construction,2015-11-23,50,62D7 2EC,23457.84,8,0.16
SME-00044,Company 44,Healthcare,2017-09-13,28,68D3 3AA,16577.14,1,0.08
SME-00045,Company 45,Professional Services,2019-08-04,5,51B7 3CB,3495.97,3,0.1
SME-00046,Company 46,Retail,2016-07-20,42,85C7 3CC,44319.78,29,0.18
SME-00047,Company 47,Hospitality,2017-02-15,35,76D1 3AD,15430.71,2,0.22
SME-00048,Company 48,Construction,2010-10-20,112,95D6 1DD,23968.05,13,0.16
SME-00049,Company 49,Healthcare,2019-06-05,7,17E4 6CD,5396.96,4,0.08
SME-00050,Company 50,Healthcare,2017-10-13,27,05A5 6AA,5116.0,18,0.08
SME-00051,Company 51,Hospitality,2016-04-21,45,73D9 8CC,31737.05,1,0.22
SME-00052,Company 52,Healthcare,2019-08-04,5,72A5 6DC,3301.35,4,0.08
SME-00053,Company 53,Construction,2019-08-04,5,81D6 3DB,29127.95,6,0.16
SME-00054,Company 54,Technology,2019-06-05,7,55C7 4AD,73115.02,4,0.12
SME-00055,Company 55,Healthcare,2013-07-06,79,14B6 9AD,60673.5,14,0.08
SME-00056,Company 56,Technology,2016-10-18,39,13A5 6AD,17219.64,8,0.12
SME-00057,Company 57,Professional Services,2015-12-23,49,96C3 4AB,4905.06,11,0.1
SME-00058,Company 58,Construction,2019-03-07,10,05E7 3DE,1377.29,12,0.16
SME-00059,Company 59,Healthcare,2016-11-17,38,62A7 9EA,26000.99,4,0.08
SME-00060,Company 60,Technology,2013-07-06,79,02E3 6EA,58961.16,6,0.12
SME-00061,Company 61,Technology,2017-01-16,36,96B3 8BA,4648.19,13,0.12
SME-00062,Company 62,Healthcare,2013-06-06,80,82E5 1CB,81394.34,21,0.08
SME-00063,Company 63,Hospitality,2016-06-20,43,81D1 2AB,10793.72,14,0.22
SME-00064,Company 64,Healthcare,2018-07-10,18,07D1 1BE,35291.34,1,0.08
SME-00065,Company 65,Retail,2019-05-06,8,38E6 5CD,11606.49,6,0.18
SME-00066,Company 66,Hospitality,2019-06-05,7,54B4 6CD,107451.41,5,0.22
SME-00067,Company 67,Healthcare,2019-10-03,3,69C9 5AA,18819.24,7,0.08
SME-00068,Company 68,Retail,2018-11-07,14,78D4 6EC,7984.1,3,0.18
SME-00069,Company 69,Retail,2017-02-15,35,92A3 4CC,5762.57,17,0.18
SME-00070,Company 70,Hospitality,2019-10-03,3,55D6 6DB,13514.33,5,0.22
SME-00071,Company 71,Hospitality,2017-11-12,26,53B9 5ED,22194.66,7,0.22
SME-00072,Company 72,Healthcare,2018-09-08,16,27D3 3CE,17952.97,12,0.08
SME-00073,Company 73,Healthcare,2019-09-03,4,56B5 2DB,15623.03,1,0.08
SME-00074,Company 74,Technology,2013-06-06,80,42B7 2BD,3662.59,2,0.12
SME-00075,Company 75,Professional Services,2013-11-03,75,45D4 3DD,402116.86,2,0.1
SME-00076,Company 76,Professional Services,2014-09-29,64,67B7 5CA,19864.3,4,0.1
SME-00077,Company 77,Healthcare,2018-03-12,22,65A5 5EB,109419.15,23,0.08
SME-00078,Company 78,Construction,2016-06-20,43,91A3 2BE,144013.4,10,0.16
SME-00079,Company 79,Retail,2017-02-15,35,99C7 5AA,11538.84,1,0.18
SME-00080,Company 80,Healthcare,2017-08-14,29,41D8 7DA,17763.98,3,0.08
SME-00081,Company 81,Hospitality,2018-03-12,22,33C5 7DE,34963.0,6,0.22
SME-00082,Company 82,Healthcare,2016-02-21,47,39B6 5EC,6382.31,3,0.08
SME-00083,Company 83,Professional Services,2012-04-12,94,39A1 4BA,23420.58,6,0.1
SME-00084,Company 84,Healthcare,2017-09-13,28,15C6 1CB,27599.92,3,0.08
SME-00085,Company 85,Hospitality,2015-07-26,54,88C9 7DE,109471.92,1,0.22
SME-00086,Company 86,Healthcare,2018-05-11,20,08A5 7EC,6084.14,3,0.08
SME-00087,Company 87,Hospitality,2018-07-10,18,16B8 7ED,5080.43,5,0.22
SME-00088,Company 88,Technology,2019-12-02,1,96C8 9EC,13248.93,1,0.12
SME-00089,Company 89,Professional Services,2018-02-10,23,22C5 8BE,101654.66,13,0.1
SME-00090,Company 90,Technology,2014-09-29,64,37A9 7DD,42009.09,10,0.12
SME-00091,Company 91,Healthcare,2018-05-11,20,38A9 3AD,51874.58,5,0.08
SME-00092,Company 92,Technology,2016-11-17,38,53A7 4DE,10471.38,21,0.12
SME-00093,Company 93,Retail,2015-10-24,51,78E9 3DC,152226.43,5,0.18
SME-00094,Company 94,Retail,2015-10-24,51,68A7 4CD,5790.27,12,0.18
SME-00095,Company 95,Healthcare,2012-05-12,93,53A2 6AE,14694.22,2,0.08
SME-00096,Company 96,Hospitality,2018-10-08,15,22C4 2AB,13786.47,3,0.22
SME-00097,Company 97,Retail,2019-10-03,3,96D8 4CC,7763.15,1,0.18
SME-00098,Company 98,Construction,2015-09-24,52,35E4 3CB,14606.05,10,0.16
SME-00099,Company 99,Hospitality,2016-05-21,44,62D1 3EB,56489.66,14,0.22
SME-00100,Company 100,Technology,2016-09-18,40,07C3 8CD,34965.73,14,0.12
SME-00101,Company 101,Professional Services,2017-09-13,28,27D5 2AC,12076.13,24,0.1
SME-00102,Company 102,Hospitality,2009-07-27,127,93C2 1EE,32109.03,3,0.22
SME-00103,Company 103,Technology,2015-06-26,55,98C3 5DB,6930.13,6,0.12
SME-00104,Company 104,Technology,2019-04-06,9,89D5 2EB,77575.61,6,0.12
SME-00105,Company 105,Professional Services,2019-12-02,1,42E2 1AC,51123.34,2,0.1
SME-00106,Company 106,Retail,2017-08-14,29,47E5 3BB,14455.89,1,0.18
SME-00107,Company 107,Professional Services,2018-04-11,21,74B3 9CA,127187.12,3,0.1
SME-00108,Company 108,Construction,2019-07-05,6,32A1 9AA,42552.19,13,0.16
SME-00109,Company 109,Technology,2019-06-05,7,48B1 6BC,1485.16,1,0.12
SME-00110,Company 110,Technology,2019-05-06,8,46A9 7EE,190443.99,7,0.12
SME-00111,Company 111,Healthcare,2013-11-03,75,91E1 4DE,257430.94,14,0.08
SME-00112,Company 112,Construction,2016-12-17,37,52C6 3EA,98676.13,9,0.16
SME-00113,Company 113,Professional Services,2019-12-02,1,66D8 7BD,11300.13,21,0.1
SME-00114,Company 114,Healthcare,2016-07-20,42,77A7 7AA,22347.37,7,0.08
SME-00115,Company 115,Healthcare,2019-12-02,1,55E6 6BA,20016.75,9,0.08
SME-00116,Company 116,Healthcare,2016-07-20,42,19B7 1CC,6009.44,11,0.08
SME-00117,Company 117,Hospitality,2017-09-13,28,06C2 3EE,19011.1,7,0.22
SME-00118,Company 118,Hospitality,2009-04-28,130,75D5 7DC,33307.1,6,0.22
SME-00119,Company 119,Healthcare,2015-03-28,58,94A1 8BC,28586.14,4,0.08
SME-00120,Company 120,Technology,2016-08-19,41,16D5 2BE,13597.06,5,0.12
SME-00121,Company 121,Retail,1997-11-27,269,25B4 5ED,32267.87,7,0.18
SME-00122,Company 122,Professional Services,2016-08-19,41,65D5 8EC,94563.59,2,0.1
SME-00123,Company 123,Healthcare,2018-05-11,20,50A1 2CD,7531.01,5,0.08
SME-00124,Company 124,Healthcare,2019-06-05,7,93E6 4DB,180670.32,93,0.08
SME-00125,Company 125,Hospitality,2017-12-12,25,58E5 5AA,70459.79,7,0.22
SME-00126,Company 126,Professional Services,2019-05-06,8,31D1 4AE,32988.02,3,0.1
SME-00127,Company 127,Technology,2008-02-03,145,35B5 2EA,24361.94,5,0.12
SME-00128,Company 128,Professional Services,2017-02-15,35,01C1 9BD,30780.52,1,0.1
SME-00129,Company 129,Technology,2017-03-17,34,31D3 8DE,16896.12,15,0.12
SME-00130,Company 130,Healthcare,2017-08-14,29,41A9 3BC,5931.38,1,0.08
SME-00131,Company 131,Healthcare,2015-12-23,49,52A1 3CA,11279.31,17,0.08
SME-00132,Company 132,Hospitality,2011-07-17,103,84B8 4AD,39130.23,6,0.22
SME-00133,Company 133,Retail,2016-01-22,48,24E7 1BB,261021.43,3,0.18
SME-00134,Company 134,Retail,2017-10-13,27,19B8 7AE,42903.06,23,0.18
SME-00135,Company 135,Hospitality,2017-10-13,27,30A1 9AE,2305.47,4,0.22
SME-00136,Company 136,Hospitality,2019-04-06,9,39C8 4BA,17967.79,7,0.22
SME-00137,Company 137,Healthcare,2015-09-24,52,15A4 5EB,159033.92,6,0.08
SME-00138,Company 138,Technology,2019-01-06,12,01B9 6AC,28393.96,9,0.12
SME-00139,Company 139,Hospitality,2019-12-02,1,15E8 7BC,654.12,10,0.22
SME-00140,Company 140,Healthcare,2018-06-10,19,93B1 8DD,9371.96,7,0.08
SME-00141,Company 141,Construction,2017-10-13,27,53C3 6DA,25776.86,2,0.16
SME-00142,Company 142,Retail,2019-11-02,2,79A4 2DD,66784.7,8,0.18
SME-00143,Company 143,Healthcare,2018-07-10,18,72C3 6DC,6311.29,10,0.08
SME-00144,Company 144,Healthcare,2017-05-16,32,09D9 8CA,29009.48,2,0.08
SME-00145,Company 145,Healthcare,2018-11-07,14,45C7 6AB,45486.68,24,0.08
SME-00146,Company 146,Professional Services,2015-11-23,50,89C2 7CC,19308.85,8,0.1
SME-00147,Company 147,Professional Services,2018-11-07,14,69C5 4BA,9180.67,9,0.1
SME-00148,Company 148,Construction,2017-02-15,35,31A8 3EA,54584.09,4,0.16
SME-00149,Company 149,Healthcare,2018-12-07,13,18A8 3DA,6468.8,12,0.08
SME-00150,Company 150,Construction,2015-02-26,59,96C5 7DE,36018.72,1,0.16
SME-00151,Company 151,Retail,2015-09-24,52,72E5 4CD,77237.37,10,0.18
SME-00152,Company 152,Professional Services,2013-10-04,76,36C2 9EE,71923.88,3,0.1
SME-00153,Company 153,Hospitality,2019-10-03,3,81B8 3CE,24892.23,11,0.22
SME-00154,Company 154,Healthcare,2017-03-17,34,99D3 7AC,4963.63,2,0.08
SME-00155,Company 155,Retail,2014-07-31,66,31B5 6BC,36076.84,23,0.18
SME-00156,Company 156,Construction,2017-03-17,34,37A1 4CD,10165.55,23,0.16
SME-00157,Company 157,Technology,2016-11-17,38,12B5 9BA,5781.74,8,0.12
SME-00158,Company 158,Professional Services,2017-08-14,29,29E6 1EA,10895.42,10,0.1
SME-00159,Company 159,Retail,2012-02-12,96,45A7 8CA,13494.0,5,0.18
SME-00160,Company 160,Hospitality,2017-03-17,34,79D1 9AE,57177.67,7,0.22
SME-00161,Company 161,Technology,2018-10-08,15,18C2 1BD,85486.96,3,0.12
SME-00162,Company 162,Construction,2016-01-22,48,93C4 3BD,8488.61,5,0.16
SME-00163,Company 163,Professional Services,2013-08-05,78,57E9 1BA,24895.38,9,0.1
SME-00164,Company 164,Technology,2019-12-02,1,09C8 7AA,22108.78,5,0.12
SME-00165,Company 165,Construction,2019-05-06,8,07E3 8CC,16437.57,4,0.16
SME-00166,Company 166,Technology,2015-05-27,56,59B3 7BC,103376.52,7,0.12
SME-00167,Company 167,Professional Services,2013-04-07,82,62B6 7EA,1994.49,10,0.1
SME-00168,Company 168,Retail,2018-11-07,14,07B7 9EA,75828.88,4,0.18
SME-00169,Company 169,Professional Services,2017-12-12,25,95E9 8CA,22061.91,2,0.1
SME-00170,Company 170,Hospitality,2016-10-18,39,01C7 5BE,3609.08,31,0.22
SME-00171,Company 171,Technology,2019-06-05,7,37C6 3BC,5546.68,6,0.12
SME-00172,Company 172,Construction,2018-09-08,16,75B2 5AB,26327.06,14,0.16
SME-00173,Company 173,Construction,2019-10-03,3,01B6 9DD,21747.05,12,0.16
SME-00174,Company 174,Healthcare,2017-03-17,34,84E5 1BB,73792.54,35,0.08
SME-00175,Company 175,Retail,2014-10-29,63,89A4 2AC,130862.51,10,0.18
SME-00176,Company 176,Technology,2016-07-20,42,35B3 1CB,9807.92,9,0.12
SME-00177,Company 177,Hospitality,2019-03-07,10,04E7 1DA,17621.09,1,0.22
SME-00178,Company 178,Hospitality,2019-09-03,4,96D1 8DC,108006.51,13,0.22
SME-00179,Company 179,Technology,2015-11-23,50,47E1 6EE,52810.07,4,0.12
SME-00180,Company 180,Healthcare,2018-12-07,13,80B8 6CA,24435.85,11,0.08
SME-00181,Company 181,Retail,2019-05-06,8,04C6 4DC,101964.19,17,0.18
SME-00182,Company 182,Hospitality,2018-02-10,23,73B7 3BC,2516.85,24,0.22
SME-00183,Company 183,Professional Services,2014-05-02,69,37B9 4AB,9223.69,29,0.1
SME-00184,Company 184,Technology,2016-01-22,48,86B8 6DD,24757.81,6,0.12
SME-00185,Company 185,Construction,2014-10-29,63,11D9 1DE,48064.48,5,0.16
SME-00186,Company 186,Healthcare,2017-08-14,29,62A9 7EC,22652.52,6,0.08
SME-00187,Company 187,Construction,2013-05-07,81,21C5 1CD,1964.66,2,0.16
SME-00188,Company 188,Healthcare,2016-04-21,45,06B7 2CD,59221.48,1,0.08
SME-00189,Company 189,Hospitality,2014-10-29,63,79E8 2EC,3325.11,7,0.22
SME-00190,Company 190,Professional Services,2017-08-14,29,51C3 6DE,46033.49,3,0.1
SME-00191,Company 191,Professional Services,2012-05-12,93,13A8 8BE,14515.49,10,0.1
SME-00192,Company 192,Retail,2018-10-08,15,94C5 5CD,17265.57,4,0.18
SME-00193,Company 193,Construction,2018-04-11,21,14A6 5EC,3376.31,2,0.16
SME-00194,Company 194,Technology,2018-04-11,21,19A5 9AC,2313.26,10,0.12
SME-00195,Company 195,Healthcare,2019-08-04,5,99E8 6BC,48507.11,10,0.08
SME-00196,Company 196,Technology,2011-12-14,98,48E6 1BD,6381.28,15,0.12
SME-00197,Company 197,Healthcare,2019-07-05,6,76E9 2BA,43248.92,34,0.08
SME-00198,Company 198,Technology,2018-10-08,15,87C7 4DC,11985.75,15,0.12
SME-00199,Company 199,Healthcare,2019-08-04,5,51B2 9AA,13965.93,20,0.08
SME-00200,Company 200,Construction,2013-08-05,78,62E4 9DA,59572.26,9,0.16
SME-00201,Company 201,Hospitality,2018-06-10,19,22E4 7DC,31240.72,5,0.22
SME-00202,Company 202,Professional Services,2018-04-11,21,12A7 1CD,24662.02,3,0.1
SME-00203,Company 203,Healthcare,2017-11-12,26,32A8 2BE,11486.53,11,0.08
SME-00204,Company 204,Hospitality,2011-12-14,98,05B6 1BA,4057.07,4,0.22
SME-00205,Company 205,Retail,2018-03-12,22,26C6 6DB,29944.12,5,0.18
SME-00206,Company 206,Hospitality,2017-11-12,26,13B2 1CB,100019.93,16,0.22
SME-00207,Company 207,Healthcare,2018-11-07,14,13C4 2DB,16972.14,8,0.08
SME-00208,Company 208,Construction,2017-06-15,31,76D9 2DE,66528.18,3,0.16
SME-00209,Company 209,Technology,2013-02-06,84,04C9 4BE,29270.58,2,0.12
SME-00210,Company 210,Professional Services,2018-01-11,24,73C3 3DD,33952.24,9,0.1
SME-00211,Company 211,Healthcare,2018-04-11,21,29C7 1EE,15246.74,6,0.08
SME-00212,Company 212,Construction,2017-04-16,33,20E7 6BB,19205.43,9,0.16
SME-00213,Company 213,Construction,2016-01-22,48,60C6 8BC,7906.88,2,0.16
SME-00214,Company 214,Professional Services,2019-06-05,7,35A4 2BD,2640.84,1,0.1
SME-00215,Company 215,Healthcare,2016-11-17,38,10E8 2BA,272446.76,10,0.08
SME-00216,Company 216,Hospitality,2018-10-08,15,17D8 2DB,32726.23,2,0.22
SME-00217,Company 217,Technology,2019-11-02,2,38A7 5ED,10513.85,5,0.12
SME-00218,Company 218,Professional Services,2017-07-15,30,11E2 5CE,5540.82,4,0.1
SME-00219,Company 219,Professional Services,2019-06-05,7,34B7 3ED,17084.37,36,0.1
SME-00220,Company 220,Retail,2019-04-06,9,70B8 4EB,42521.03,8,0.18
SME-00221,Company 221,Healthcare,2017-04-16,33,03E6 9CD,15090.05,6,0.08
SME-00222,Company 222,Healthcare,2016-08-19,41,76A7 1CC,80390.79,12,0.08
SME-00223,Company 223,Professional Services,2017-02-15,35,64E9 1DB,71523.1,13,0.1
SME-00224,Company 224,Healthcare,2015-09-24,52,13C7 3ED,60349.45,6,0.08
SME-00225,Company 225,Professional Services,2012-01-13,97,22A3 2DA,42677.63,4,0.1
SME-00226,Company 226,Professional Services,2017-11-12,26,67A7 2BE,10362.56,6,0.1
SME-00227,Company 227,Healthcare,2018-10-08,15,99E4 3EB,8267.69,2,0.08
SME-00228,Company 228,Retail,2018-07-10,18,70B7 7DD,3279.62,7,0.18
SME-00229,Company 229,Healthcare,2019-01-06,12,57C4 9EA,22818.08,19,0.08
SME-00230,Company 230,Hospitality,2019-05-06,8,14B4 7AB,9474.1,15,0.22
SME-00231,Company 231,Retail,2018-03-12,22,74E5 6DD,4172.49,9,0.18
SME-00232,Company 232,Professional Services,2017-10-13,27,08B9 7AD,29328.67,18,0.1
SME-00233,Company 233,Professional Services,2019-01-06,12,40C3 3AD,15141.18,6,0.1
SME-00234,Company 234,Construction,2017-04-16,33,12B3 2AE,16271.19,11,0.16
SME-00235,Company 235,Retail,2005-03-20,180,26A1 2DD,32494.14,13,0.18
SME-00236,Company 236,Retail,2017-08-14,29,52A8 8CB,148530.08,3,0.18
SME-00237,Company 237,Construction,2019-10-03,3,16E1 7EC,30936.2,7,0.16
SME-00238,Company 238,Hospitality,2016-09-18,40,16D6 3CA,40281.94,2,0.22
SME-00239,Company 239,Hospitality,2009-07-27,127,85B8 8EE,89630.04,20,0.22
SME-00240,Company 240,Construction,2015-07-26,54,79A4 8CE,16585.17,13,0.16
SME-00241,Company 241,Healthcare,2013-12-03,74,36D6 5AE,5883.09,4,0.08
SME-00242,Company 242,Professional Services,1997-05-31,275,52D6 4DE,30894.92,8,0.1
SME-00243,Company 243,Retail,2010-03-24,119,24D3 6EE,3171.43,5,0.18
SME-00244,Company 244,Retail,2015-01-27,60,60C5 1CB,11552.14,4,0.18
SME-00245,Company 245,Technology,2015-07-26,54,86A4 7CB,62797.34,2,0.12
SME-00246,Company 246,Construction,2016-10-18,39,55C4 8DB,4920.32,1,0.16
SME-00247,Company 247,Technology,2006-10-11,161,11D4 7EC,12184.48,33,0.12
SME-00248,Company 248,Professional Services,2016-02-21,47,02E8 8AB,75350.51,12,0.1
SME-00249,Company 249,Technology,2008-01-04,146,68E8 3EA,25640.18,2,0.12
SME-00250,Company 250,Technology,2019-02-05,11,07E1 1AA,9944.33,3,0.12
SME-00251,Company 251,Hospitality,2016-02-21,47,41E3 6CC,23040.94,2,0.22
SME-00252,Company 252,Professional Services,2018-11-07,14,07A4 8DB,4264.15,5,0.1
SME-00253,Company 253,Retail,2017-07-15,30,95D6 8EA,4563.46,9,0.18
SME-00254,Company 254,Retail,2019-04-06,9,65E2 3EC,8695.73,17,0.18
SME-00255,Company 255,Hospitality,2017-11-12,26,16D9 2BD,334761.31,3,0.22
SME-00256,Company 256,Construction,2018-12-07,13,06C4 1EB,6233.76,3,0.16
SME-00257,Company 257,Construction,2018-02-10,23,46C1 7EC,15166.03,28,0.16
SME-00258,Company 258,Hospitality,2017-04-16,33,95C6 6ED,4375.77,14,0.22
SME-00259,Company 259,Hospitality,2018-08-09,17,34C6 5EE,6767.59,2,0.22
SME-00260,Company 260,Retail,2018-01-11,24,59A6 4BD,3010.91,1,0.18
SME-00261,Company 261,Technology,2018-12-07,13,11E9 2CD,18440.66,10,0.12
SME-00262,Company 262,Hospitality,2017-02-15,35,16B3 9EC,24607.95,7,0.22
SME-00263,Company 263,Healthcare,2017-08-14,29,68B6 6DE,21839.16,15,0.08
SME-00264,Company 264,Hospitality,2015-01-27,60,40E3 2BC,1755.96,3,0.22
SME-00265,Company 265,Retail,2019-06-05,7,45E9 9CD,142997.08,7,0.18
SME-00266,Company 266,Retail,2015-04-27,57,18C6 6CC,44107.89,24,0.18
SME-00267,Company 267,Professional Services,2018-08-09,17,43A5 8EC,22318.75,1,0.1
SME-00268,Company 268,Construction,2017-04-16,33,97B2 2BD,13884.66,5,0.16
SME-00269,Company 269,Technology,2019-09-03,4,80A1 8AA,9601.55,2,0.12
SME-00270,Company 270,Professional Services,2016-09-18,40,45E6 9AA,119972.24,6,0.1
SME-00271,Company 271,Healthcare,2013-10-04,76,89B8 6AD,29222.2,2,0.08
SME-00272,Company 272,Healthcare,2016-04-21,45,92C7 4DB,52880.74,13,0.08
SME-00273,Company 273,Professional Services,2018-09-08,16,33C5 6BD,24877.94,8,0.1
SME-00274,Company 274,Construction,2014-03-03,71,86C6 6DB,75313.54,5,0.16
SME-00275,Company 275,Retail,2017-10-13,27,09A2 8CE,37934.74,17,0.18
SME-00276,Company 276,Healthcare,2019-12-02,1,52E5 1ED,46301.33,5,0.08
SME-00277,Company 277,Healthcare,2008-10-30,136,79A1 8AD,40610.62,1,0.08
SME-00278,Company 278,Professional Services,2019-03-07,10,66D7 1DD,15051.85,1,0.1
SME-00279,Company 279,Professional Services,2016-09-18,40,92E2 7AB,5266.52,13,0.1
SME-00280,Company 280,Retail,2018-03-12,22,52D1 2EE,7817.95,7,0.18
SME-00281,Company 281,Healthcare,2019-07-05,6,48E2 3AD,8417.41,1,0.08
SME-00282,Company 282,Technology,2019-10-03,3,85B3 1CC,8932.1,7,0.12
SME-00283,Company 283,Retail,2018-05-11,20,73C3 8AC,10049.16,2,0.18
SME-00284,Company 284,Hospitality,2019-07-05,6,69C3 2BA,26827.55,4,0.22
SME-00285,Company 285,Technology,2019-02-05,11,21C7 4CC,19804.48,5,0.12
SME-00286,Company 286,Technology,2016-05-21,44,33D7 1CA,4409.75,26,0.12
SME-00287,Company 287,Professional Services,2019-09-03,4,01B8 5BC,11242.55,5,0.1
SME-00288,Company 288,Hospitality,2017-09-13,28,74A1 8EE,8370.44,8,0.22
SME-00289,Company 289,Hospitality,2016-02-21,47,77D5 6BE,35256.78,43,0.22
SME-00290,Company 290,Technology,2019-01-06,12,54A8 4AE,37079.21,6,0.12
SME-00291,Company 291,Professional Services,2018-12-07,13,01C2 9BC,46667.85,7,0.1
SME-00292,Company 292,Healthcare,2019-10-03,3,05A5 4AE,21296.55,7,0.08
SME-00293,Company 293,Healthcare,2017-06-15,31,72E2 5AB,20256.71,1,0.08
SME-00294,Company 294,Professional Services,2012-01-13,97,23A7 3AA,105862.45,8,0.1
SME-00295,Company 295,Retail,2018-08-09,17,51D4 3CB,72828.73,12,0.18
SME-00296,Company 296,Construction,2016-11-17,38,11E1 6BB,4209.17,8,0.16
SME-00297,Company 297,Professional Services,2019-08-04,5,55A9 3DD,5066.24,7,0.1
SME-00298,Company 298,Construction,2018-02-10,23,15D4 7DE,2509.26,29,0.16
SME-00299,Company 299,Technology,2018-01-11,24,78A5 6BA,15201.86,11,0.12
SME-00300,Company 300,Retail,2019-09-03,4,76B4 3EA,4071.24,4,0.18
