company_id,defaulted,default_date,application_date
SME-00146,0,,2022-01-01
SME-00147,0,,2022-01-01
SME-00148,0,,2022-01-01
SME-00149,0,,2022-01-01
SME-00150,0,,2022-01-01
SME-00151,0,,2022-01-01
SME-00152,1,2022-12-21,2022-01-01
SME-00153,0,,2022-01-01
SME-00154,0,,2022-01-01
SME-00155,0,,2022-01-01
SME-00156,0,,2022-01-01
SME-00157,0,,2022-01-01
SME-00158,0,,2022-01-01
SME-00159,0,,2022-01-01
SME-00160,0,,2022-01-01
SME-00161,0,,2022-01-01
SME-00162,1,2022-06-27,2022-01-01
SME-00163,1,2023-02-21,2022-01-01
SME-00164,1,2023-05-15,2022-01-01
SME-00165,0,,2022-01-01
SME-00166,0,,2022-01-01
SME-00167,0,,2022-01-01
SME-00168,0,,2022-01-01
SME-00169,0,,2022-01-01
SME-00170,0,,2022-01-01
SME-00171,0,,2022-01-01
SME-00172,0,,2022-01-01
SME-00173,0,,2022-01-01
SME-00174,0,,2022-01-01
SME-00175,0,,2022-01-01
SME-00176,1,2023-02-22,2022-01-01
SME-00177,0,,2022-01-01
SME-00178,1,2023-03-06,2022-01-01
SME-00179,0,,2022-01-01
SME-00180,0,,2022-01-01
SME-00181,0,,2022-01-01
SME-00182,0,,2022-01-01
SME-00183,0,,2022-01-01
SME-00184,1,2022-10-07,2022-01-01
SME-00185,1,2022-06-10,2022-01-01
SME-00186,0,,2022-01-01
SME-00187,0,,2022-01-01
SME-00188,0,,2022-01-01
SME-00189,1,2022-10-26,2022-01-01
SME-00190,0,,2022-01-01
SME-00191,0,,2022-01-01
SME-00192,0,,2022-01-01
SME-00193,0,,2022-01-01
SME-00194,0,,2022-01-01
SME-00195,0,,2022-01-01
SME-00196,0,,2022-01-01
SME-00197,0,,2022-01-01
SME-00198,0,,2022-01-01
SME-00199,0,,2022-01-01
SME-00200,0,,2022-01-01
SME-00201,0,,2022-01-01
SME-00202,1,2022-09-27,2022-01-01
SME-00203,1,2022-08-02,2022-01-01
SME-00204,0,,2022-01-01
SME-00205,0,,2022-01-01
SME-00206,0,,2022-01-01
SME-00207,1,2023-05-28,2022-01-01
SME-00208,0,,2022-01-01
SME-00209,1,2023-04-11,2022-01-01
SME-00210,1,2023-04-21,2022-01-01
SME-00211,0,,2022-01-01
SME-00212,0,,2022-01-01
SME-00213,0,,2022-01-01
SME-00214,0,,2022-01-01
SME-00215,0,,2022-01-01
SME-00216,0,,2022-01-01
SME-00217,0,,2022-01-01
SME-00218,0,,2022-01-01
SME-00219,1,2022-06-21,2022-01-01
SME-00220,0,,2022-01-01
SME-00221,1,2022-09-15,2022-01-01
SME-00222,0,,2022-01-01
SME-00223,0,,2022-01-01
SME-00224,0,,2022-01-01
SME-00225,0,,2022-01-01
SME-00226,0,,2022-01-01
SME-00227,0,,2022-01-01
SME-00228,0,,2022-01-01
SME-00229,0,,2022-01-01
SME-00230,0,,2022-01-01
SME-00231,0,,2022-01-01
SME-00232,0,,2022-01-01
SME-00233,0,,2022-01-01
SME-00234,1,2022-11-22,2022-01-01
SME-00235,0,,2022-01-01
SME-00236,0,,2022-01-01
SME-00237,1,2022-11-12,2022-01-01
SME-00238,0,,2022-01-01
SME-00239,1,2023-02-09,2022-01-01
SME-00240,1,2022-12-26,2022-01-01
SME-00241,1,2022-06-04,2022-01-01
SME-00242,0,,2022-01-01
SME-00243,0,,2022-01-01
SME-00244,1,2022-10-01,2022-01-01
SME-00245,1,2023-03-01,2022-01-01
SME-00246,0,,2022-01-01
SME-00247,0,,2022-01-01
SME-00248,0,,2022-01-01
SME-00249,1,2022-09-20,2022-01-01
SME-00250,0,,2022-01-01
SME-00251,0,,2022-01-01
SME-00252,0,,2022-01-01
SME-00253,1,2023-01-04,2022-01-01
SME-00254,0,,2022-01-01
SME-00255,0,,2022-01-01
SME-00256,0,,2022-01-01
SME-00257,0,,2022-01-01
SME-00258,0,,2022-01-01
SME-00259,0,,2022-01-01
SME-00260,0,,2022-01-01
SME-00261,0,,2022-01-01
SME-00262,0,,2022-01-01
SME-00263,0,,2022-01-01
SME-00264,0,,2022-01-01
SME-00265,0,,2022-01-01
SME-00266,0,,2022-01-01
SME-00267,0,,2022-01-01
SME-00268,0,,2022-01-01
SME-00269,0,,2022-01-01
SME-00270,1,2022-10-21,2022-01-01
SME-00271,0,,2022-01-01
SME-00272,1,2022-08-26,2022-01-01
SME-00273,0,,2022-01-01
SME-00274,1,2022-07-06,2022-01-01
SME-00275,0,,2022-01-01
SME-00276,1,2022-08-12,2022-01-01
SME-00277,0,,2022-01-01
SME-00278,0,,2022-01-01
SME-00279,1,2022-06-21,2022-01-01
SME-00280,0,,2022-01-01
SME-00281,0,,2022-01-01
SME-00282,0,,2022-01-01
SME-00283,0,,2022-01-01
SME-00284,0,,2022-01-01
SME-00285,0,,2022-01-01
SME-00286,0,,2022-01-01
SME-00287,0,,2022-01-01
SME-00288,0,,2022-01-01
SME-00289,0,,2022-01-01
SME-00290,0,,2022-01-01
SME-00291,0,,2022-01-01
SME-00292,0,,2022-01-01
SME-00293,0,,2022-01-01
SME-00294,0,,2022-01-01
SME-00295,0,,2022-01-01
SME-00296,0,,2022-01-01
SME-00297,0,,2022-01-01
SME-00298,1,2023-02-08,2022-01-01
SME-00299,0,,2022-01-01
SME-00300,0,,2022-01-01
