raw,normalised,canonical,method,score
SHELL RETAIL,SHELL,SHELL,fuzzy,100.0
Hill Dickinson,HILL DICKINSON,LEGAL,manual,100.0
Shoosmiths,SHOOSMITHS,LEGAL,manual,100.0
DWF Law LLP,DWF LAW,LEGAL,manual,100.0
Mills & Reeve,MILLS REEVE,LEGAL,manual,100.0
Trowers & Hamlins,TROWERS HAMLINS,LEGAL,manual,100.0
DHL,DHL,DHL,fuzzy,100.0
DHL Express,DHL,DHL,fuzzy,100.0
Hermes,HERMES,COURIER,manual,100.0
DPD,DPD,COURIER,manual,100.0
Parcelforce,PARCELFORCE,COURIER,manual,100.0
MSFT,MSFT,MICROSOFT,manual,100.0
UBER EATS,UBER EATS,UBER,manual,100.0
Google Ireland,GOOGLE IRELAND,GOOGLE,manual,100.0
Microsoft 365,MICROSOFT 365,MICROSOFT,manual,100.0
MICROSOFT*STORE,STORE,STRIPE,fuzzy,72.72727272727273
Uber BV,UBER,UBER,fuzzy,100.0
Google Cloud,GOOGLE CLOUD,GOOGLE,manual,100.0
Uber,UBER,UBER,fuzzy,100.0
UBER *TRIP HELP.UBER.COM,TRIP,UBER,manual,100.0
UBER TRIP,UBER TRIP,UBER,manual,100.0
GOOGLE *ADS,ADS,GOOGLE,manual,100.0
Smith & Co Accountants,SMITH CO ACCOUNTANTS,ACCOUNTANT,manual,100.0
PKF Littlejohn,PKF LITTLEJOHN,ACCOUNTANT,manual,100.0
Moore Kingston Smith,MOORE KINGSTON SMITH,ACCOUNTANT,manual,100.0
Amazon Marketplace,AMAZON MARKETPLACE,AMAZON,manual,100.0
AMAZON.CO.UK,AMAZONCO,AMAZON,fuzzy,85.71428571428572
AMZN MKTP,AMZN MKTP,AMAZON,manual,100.0
Amazon,AMAZON,AMAZON,fuzzy,100.0
Amazon EU SARL,AMAZON EU,AMAZON WEB,fuzzy,84.21052631578947
SQ *AMAZON,AMAZON,AMAZON,fuzzy,100.0
British Airways,BRITISH AIRWAYS,TRAVEL,manual,100.0
Ryanair,RYANAIR,TRAVEL,manual,100.0
Starbucks Ltd,STARBUCKS,STARBUCKS,fuzzy,100.0
Trainline,TRAINLINE,TRAVEL,manual,100.0
EXPEDIA,EXPEDIA,TRAVEL,manual,100.0
National Rail,NATIONAL RAIL,TRAVEL,manual,100.0
SQ *STARBUCKS,STARBUCKS,STARBUCKS,fuzzy,100.0
STARBUCKS LIMITED,STARBUCKS,STARBUCKS,fuzzy,100.0
EasyJet,EASYJET,TRAVEL,manual,100.0
Starbucks Store 84381,STARBUCKS,STARBUCKS,fuzzy,100.0
Starbucks #084381,STARBUCKS,STARBUCKS,fuzzy,100.0
Booking.com,BOOKINGCOM,TRAVEL,manual,100.0
Starbucks,STARBUCKS,STARBUCKS,fuzzy,100.0
Staples,STAPLES,STAPLES,unknown,
Shell Station #2291,SHELL STATION,SHELL STATION,unknown,
UPS,UPS,UPS,unknown,
Royal Mail,ROYAL MAIL,ROYAL MAIL,unknown,
FedEx,FEDEX,FEDEX,unknown,
Microsoft,MICROSOFT,MICROSOFT,unknown,
Microsoft Corporation,MICROSOFT CORPORATION,MICROSOFT CORPORATION,unknown,
GOOGLE *SERVICES,,,unknown,
Google,GOOGLE,GOOGLE,unknown,
Grant Thornton,GRANT THORNTON,GRANT THORNTON,unknown,
Mazars,MAZARS,MAZARS,unknown,
BDO LLP,BDO,BDO,unknown,
SBUK RETAIL,SBUK,SBUK,unknown,
