postcode_area,date,vacancy_rate
65,2022-06-01,0.1822
65,2022-07-01,0.1847
65,2022-08-01,0.2128
65,2022-09-01,0.1916
65,2022-10-01,0.163
65,2022-11-01,0.1702
65,2022-12-01,0.2281
65,2023-01-01,0.2056
65,2023-02-01,0.1815
65,2023-03-01,0.2003
65,2023-04-01,0.2095
65,2023-05-01,0.2036
65,2023-06-01,0.2041
60,2022-01-01,0.0665
60,2022-02-01,0.0632
60,2022-03-01,0.0829
60,2022-04-01,0.0472
60,2022-05-01,0.0844
60,2022-06-01,0.0748
60,2022-07-01,0.0653
60,2022-08-01,0.0781
60,2022-09-01,0.0874
60,2022-10-01,0.0942
60,2022-11-01,0.1059
60,2022-12-01,0.0788
60,2023-01-01,0.1128
60,2023-02-01,0.0746
60,2023-03-01,0.0838
60,2023-04-01,0.0858
60,2023-05-01,0.0921
60,2023-06-01,0.0925
85,2022-01-01,0.0932
85,2022-02-01,0.0829
85,2022-03-01,0.1004
85,2022-04-01,0.0965
85,2022-05-01,0.0864
85,2022-06-01,0.0932
85,2022-07-01,0.114
85,2022-08-01,0.1191
85,2022-09-01,0.0714
85,2022-10-01,0.0778
85,2022-11-01,0.1056
85,2022-12-01,0.098
85,2023-01-01,0.0744
85,2023-02-01,0.1421
85,2023-03-01,0.1315
85,2023-04-01,0.135
85,2023-05-01,0.1222
85,2023-06-01,0.128
42,2022-01-01,0.114
42,2022-02-01,0.1103
42,2022-03-01,0.1383
42,2022-04-01,0.1365
42,2022-05-01,0.0998
42,2022-06-01,0.1142
42,2022-07-01,0.1487
42,2022-08-01,0.1049
42,2022-09-01,0.174
42,2022-10-01,0.133
42,2022-11-01,0.1365
42,2022-12-01,0.1458
42,2023-01-01,0.1205
42,2023-02-01,0.1565
42,2023-03-01,0.1234
42,2023-04-01,0.1703
42,2023-05-01,0.1493
42,2023-06-01,0.1849
90,2022-01-01,0.0858
90,2022-02-01,0.0988
90,2022-03-01,0.1139
90,2022-04-01,0.0504
90,2022-05-01,0.1071
90,2022-06-01,0.0976
90,2022-07-01,0.0721
90,2022-08-01,0.1356
90,2022-09-01,0.1069
90,2022-10-01,0.1093
90,2022-11-01,0.0922
90,2022-12-01,0.106
90,2023-01-01,0.1221
90,2023-02-01,0.1264
90,2023-03-01,0.1092
90,2023-04-01,0.1077
90,2023-05-01,0.1259
90,2023-06-01,0.0995
61,2022-01-01,0.1814
61,2022-02-01,0.1978
61,2022-03-01,0.2447
61,2022-04-01,0.2005
61,2022-05-01,0.2231
61,2022-06-01,0.2295
61,2022-07-01,0.2748
61,2022-08-01,0.2499
61,2022-09-01,0.28
61,2022-10-01,0.2759
61,2022-11-01,0.2566
61,2022-12-01,0.2419
61,2023-01-01,0.2715
61,2023-02-01,0.2351
61,2023-03-01,0.2487
61,2023-04-01,0.2699
61,2023-05-01,0.2559
61,2023-06-01,0.2679
76,2022-01-01,0.1578
76,2022-02-01,0.1252
76,2022-03-01,0.1429
76,2022-04-01,0.1537
76,2022-05-01,0.1412
76,2022-06-01,0.1547
76,2022-07-01,0.1655
76,2022-08-01,0.1328
76,2022-09-01,0.1496
76,2022-10-01,0.1627
76,2022-11-01,0.1313
76,2022-12-01,0.1779
76,2023-01-01,0.1538
76,2023-02-01,0.1687
76,2023-03-01,0.1762
76,2023-04-01,0.1766
76,2023-05-01,0.1862
76,2023-06-01,0.1547
13,2022-01-01,0.123
13,2022-02-01,0.1229
13,2022-03-01,0.1594
13,2022-04-01,0.1711
13,2022-05-01,0.1507
13,2022-06-01,0.1271
13,2022-07-01,0.1506
13,2022-08-01,0.1935
13,2022-09-01,0.1929
13,2022-10-01,0.1557
13,2022-11-01,0.1499
13,2022-12-01,0.183
13,2023-01-01,0.165
13,2023-02-01,0.2003
13,2023-03-01,0.142
13,2023-04-01,0.1992
13,2023-05-01,0.1714
13,2023-06-01,0.1834
49,2022-01-01,0.1542
49,2022-02-01,0.1661
49,2022-03-01,0.1566
49,2022-04-01,0.186
49,2022-05-01,0.1707
49,2022-06-01,0.1323
49,2022-07-01,0.1679
49,2022-08-01,0.154
49,2022-09-01,0.153
49,2022-10-01,0.1904
49,2022-11-01,0.1893
49,2022-12-01,0.1563
49,2023-01-01,0.1897
49,2023-02-01,0.1694
49,2023-03-01,0.1948
49,2023-04-01,0.1797
49,2023-05-01,0.1603
49,2023-06-01,0.1885
78,2022-01-01,0.1559
78,2022-02-01,0.1863
78,2022-03-01,0.1971
78,2022-04-01,0.132
78,2022-05-01,0.2039
78,2022-06-01,0.1783
78,2022-07-01,0.1874
78,2022-08-01,0.1506
78,2022-09-01,0.2011
78,2022-10-01,0.1613
78,2022-11-01,0.1969
78,2022-12-01,0.2168
78,2023-01-01,0.2163
78,2023-02-01,0.2213
78,2023-03-01,0.2082
78,2023-04-01,0.2577
78,2023-05-01,0.2368
78,2023-06-01,0.2552
30,2022-01-01,0.1004
30,2022-02-01,0.0929
30,2022-03-01,0.0989
30,2022-04-01,0.1174
30,2022-05-01,0.0827
30,2022-06-01,0.1143
30,2022-07-01,0.1148
30,2022-08-01,0.1337
30,2022-09-01,0.1091
30,2022-10-01,0.175
30,2022-11-01,0.0943
30,2022-12-01,0.1469
30,2023-01-01,0.1385
30,2023-02-01,0.1365
30,2023-03-01,0.1089
30,2023-04-01,0.1541
30,2023-05-01,0.1352
30,2023-06-01,0.1693
80,2022-01-01,0.2038
80,2022-02-01,0.1893
80,2022-03-01,0.2198
80,2022-04-01,0.2469
80,2022-05-01,0.1956
80,2022-06-01,0.2294
80,2022-07-01,0.2134
80,2022-08-01,0.2372
80,2022-09-01,0.2417
80,2022-10-01,0.2194
80,2022-11-01,0.2371
80,2022-12-01,0.2396
80,2023-01-01,0.2584
80,2023-02-01,0.2115
80,2023-03-01,0.2522
80,2023-04-01,0.2847
80,2023-05-01,0.255
80,2023-06-01,0.2372
54,2022-01-01,0.0981
54,2022-02-01,0.0867
54,2022-03-01,0.0892
54,2022-04-01,0.0688
54,2022-05-01,0.0842
54,2022-06-01,0.077
54,2022-07-01,0.094
54,2022-08-01,0.1179
54,2022-09-01,0.1387
54,2022-10-01,0.1155
54,2022-11-01,0.1057
54,2022-12-01,0.0799
54,2023-01-01,0.1235
54,2023-02-01,0.1264
54,2023-03-01,0.1034
54,2023-04-01,0.1368
54,2023-05-01,0.1185
54,2023-06-01,0.1379
93,2022-01-01,0.1095
93,2022-02-01,0.1202
93,2022-03-01,0.1217
93,2022-04-01,0.1332
93,2022-05-01,0.16
93,2022-06-01,0.1491
93,2022-07-01,0.1227
93,2022-08-01,0.1348
93,2022-09-01,0.1043
93,2022-10-01,0.1193
93,2022-11-01,0.146
93,2022-12-01,0.1174
93,2023-01-01,0.1506
93,2023-02-01,0.164
93,2023-03-01,0.1649
93,2023-04-01,0.1116
93,2023-05-01,0.171
93,2023-06-01,0.1691
31,2022-01-01,0.2169
31,2022-02-01,0.2556
31,2022-03-01,0.2371
31,2022-04-01,0.2549
31,2022-05-01,0.2521
31,2022-06-01,0.2269
31,2022-07-01,0.2439
31,2022-08-01,0.2099
31,2022-09-01,0.2446
31,2022-10-01,0.2453
31,2022-11-01,0.2708
31,2022-12-01,0.2258
31,2023-01-01,0.239
31,2023-02-01,0.2595
31,2023-03-01,0.2544
31,2023-04-01,0.2718
31,2023-05-01,0.3023
31,2023-06-01,0.2873
99,2022-01-01,0.1505
99,2022-02-01,0.1504
99,2022-03-01,0.1494
99,2022-04-01,0.1566
99,2022-05-01,0.1769
99,2022-06-01,0.1716
99,2022-07-01,0.1679
99,2022-08-01,0.131
99,2022-09-01,0.2048
99,2022-10-01,0.1675
99,2022-11-01,0.2148
99,2022-12-01,0.1908
99,2023-01-01,0.1954
99,2023-02-01,0.1793
99,2023-03-01,0.2066
99,2023-04-01,0.184
99,2023-05-01,0.2072
99,2023-06-01,0.1876
84,2022-01-01,0.1431
84,2022-02-01,0.1484
84,2022-03-01,0.1316
84,2022-04-01,0.1309
84,2022-05-01,0.1416
84,2022-06-01,0.1314
84,2022-07-01,0.1209
84,2022-08-01,0.146
84,2022-09-01,0.1717
84,2022-10-01,0.1649
84,2022-11-01,0.1692
84,2022-12-01,0.1639
84,2023-01-01,0.2037
84,2023-02-01,0.1934
84,2023-03-01,0.1654
84,2023-04-01,0.1926
84,2023-05-01,0.1867
84,2023-06-01,0.1556
82,2022-01-01,0.2428
82,2022-02-01,0.2532
82,2022-03-01,0.2498
82,2022-04-01,0.252
82,2022-05-01,0.2262
82,2022-06-01,0.2494
82,2022-07-01,0.2646
82,2022-08-01,0.3174
82,2022-09-01,0.2826
82,2022-10-01,0.2721
82,2022-11-01,0.2715
82,2022-12-01,0.2912
82,2023-01-01,0.2464
82,2023-02-01,0.276
82,2023-03-01,0.2756
82,2023-04-01,0.2897
82,2023-05-01,0.2368
82,2023-06-01,0.3022
32,2022-01-01,0.1986
32,2022-02-01,0.1915
32,2022-03-01,0.1953
32,2022-04-01,0.1768
32,2022-05-01,0.2319
32,2022-06-01,0.1921
32,2022-07-01,0.1952
32,2022-08-01,0.2123
32,2022-09-01,0.1974
32,2022-10-01,0.2343
32,2022-11-01,0.2253
32,2022-12-01,0.2421
32,2023-01-01,0.2422
32,2023-02-01,0.2609
32,2023-03-01,0.2117
32,2023-04-01,0.243
32,2023-05-01,0.2593
32,2023-06-01,0.2201
72,2022-01-01,0.2053
72,2022-02-01,0.2245
72,2022-03-01,0.2341
72,2022-04-01,0.2589
72,2022-05-01,0.234
72,2022-06-01,0.2173
72,2022-07-01,0.2401
72,2022-08-01,0.2613
72,2022-09-01,0.2598
72,2022-10-01,0.2265
72,2022-11-01,0.2565
72,2022-12-01,0.2647
72,2023-01-01,0.232
72,2023-02-01,0.2729
72,2023-03-01,0.2588
72,2023-04-01,0.2696
72,2023-05-01,0.2643
72,2023-06-01,0.2987
63,2022-01-01,0.1412
63,2022-02-01,0.1363
63,2022-03-01,0.143
63,2022-04-01,0.1151
63,2022-05-01,0.1338
63,2022-06-01,0.159
63,2022-07-01,0.1218
63,2022-08-01,0.1806
63,2022-09-01,0.191
63,2022-10-01,0.1547
63,2022-11-01,0.1641
63,2022-12-01,0.1307
63,2023-01-01,0.1534
63,2023-02-01,0.16
63,2023-03-01,0.171
63,2023-04-01,0.1738
63,2023-05-01,0.1552
63,2023-06-01,0.1383
96,2022-01-01,0.0873
96,2022-02-01,0.0714
96,2022-03-01,0.0754
96,2022-04-01,0.0843
96,2022-05-01,0.0495
96,2022-06-01,0.0605
96,2022-07-01,0.0406
96,2022-08-01,0.0889
96,2022-09-01,0.0996
96,2022-10-01,0.1486
96,2022-11-01,0.0798
96,2022-12-01,0.0735
96,2023-01-01,0.1106
96,2023-02-01,0.1174
96,2023-03-01,0.1229
96,2023-04-01,0.0869
96,2023-05-01,0.1329
96,2023-06-01,0.1153
83,2022-01-01,0.2571
83,2022-02-01,0.2298
83,2022-03-01,0.2845
83,2022-04-01,0.232
83,2022-05-01,0.2743
83,2022-06-01,0.2765
83,2022-07-01,0.265
83,2022-08-01,0.2059
83,2022-09-01,0.2438
83,2022-10-01,0.2808
83,2022-11-01,0.2539
83,2022-12-01,0.2675
83,2023-01-01,0.2837
83,2023-02-01,0.2826
83,2023-03-01,0.2796
83,2023-04-01,0.2717
83,2023-05-01,0.2806
83,2023-06-01,0.2923
79,2022-01-01,0.225
79,2022-02-01,0.2642
79,2022-03-01,0.2085
79,2022-04-01,0.2252
79,2022-05-01,0.24
79,2022-06-01,0.2314
79,2022-07-01,0.2733
79,2022-08-01,0.2792
79,2022-09-01,0.2373
79,2022-10-01,0.2765
79,2022-11-01,0.313
79,2022-12-01,0.3021
79,2023-01-01,0.2614
79,2023-02-01,0.285
79,2023-03-01,0.318
79,2023-04-01,0.3188
79,2023-05-01,0.296
79,2023-06-01,0.2891
28,2022-01-01,0.1339
28,2022-02-01,0.1304
28,2022-03-01,0.1725
28,2022-04-01,0.1402
28,2022-05-01,0.1179
28,2022-06-01,0.157
28,2022-07-01,0.1633
28,2022-08-01,0.1388
28,2022-09-01,0.1154
28,2022-10-01,0.1823
28,2022-11-01,0.1768
28,2022-12-01,0.18
28,2023-01-01,0.1918
28,2023-02-01,0.1537
28,2023-03-01,0.2103
28,2023-04-01,0.1618
28,2023-05-01,0.1518
28,2023-06-01,0.1841
69,2022-01-01,0.2148
69,2022-02-01,0.2358
69,2022-03-01,0.2383
69,2022-04-01,0.2507
69,2022-05-01,0.2538
69,2022-06-01,0.248
69,2022-07-01,0.2351
69,2022-08-01,0.2654
69,2022-09-01,0.2761
69,2022-10-01,0.2602
69,2022-11-01,0.2339
69,2022-12-01,0.265
69,2023-01-01,0.2837
69,2023-02-01,0.254
69,2023-03-01,0.2546
69,2023-04-01,0.2753
69,2023-05-01,0.285
69,2023-06-01,0.2836
62,2022-01-01,0.1304
62,2022-02-01,0.1063
62,2022-03-01,0.1589
62,2022-04-01,0.1312
62,2022-05-01,0.158
62,2022-06-01,0.1703
62,2022-07-01,0.1341
62,2022-08-01,0.1095
62,2022-09-01,0.1532
62,2022-10-01,0.1527
62,2022-11-01,0.1586
62,2022-12-01,0.1693
62,2023-01-01,0.1937
62,2023-02-01,0.1746
62,2023-03-01,0.1753
62,2023-04-01,0.1753
62,2023-05-01,0.1316
62,2023-06-01,0.1627
51,2022-01-01,0.2397
51,2022-02-01,0.2576
51,2022-03-01,0.23
51,2022-04-01,0.2556
51,2022-05-01,0.2496
51,2022-06-01,0.2536
51,2022-07-01,0.3032
51,2022-08-01,0.2412
51,2022-09-01,0.2456
51,2022-10-01,0.3088
51,2022-11-01,0.2644
51,2022-12-01,0.276
51,2023-01-01,0.2544
51,2023-02-01,0.241
51,2023-03-01,0.2987
51,2023-04-01,0.2833
51,2023-05-01,0.2842
51,2023-06-01,0.3193
95,2022-01-01,0.113
95,2022-02-01,0.1044
95,2022-03-01,0.1574
95,2022-04-01,0.1358
95,2022-05-01,0.1159
95,2022-06-01,0.1614
95,2022-07-01,0.1551
95,2022-08-01,0.1427
95,2022-09-01,0.1385
95,2022-10-01,0.1396
95,2022-11-01,0.1329
95,2022-12-01,0.1492
95,2023-01-01,0.154
95,2023-02-01,0.1709
95,2023-03-01,0.1456
95,2023-04-01,0.1628
95,2023-05-01,0.1496
95,2023-06-01,0.167
17,2022-01-01,0.132
17,2022-02-01,0.1417
17,2022-03-01,0.1599
17,2022-04-01,0.1371
17,2022-05-01,0.1481
17,2022-06-01,0.1163
17,2022-07-01,0.1208
17,2022-08-01,0.1422
17,2022-09-01,0.1799
17,2022-10-01,0.1496
17,2022-11-01,0.1476
17,2022-12-01,0.1486
17,2023-01-01,0.1592
17,2023-02-01,0.2069
17,2023-03-01,0.1594
17,2023-04-01,0.1809
17,2023-05-01,0.1687
17,2023-06-01,0.1739
05,2022-01-01,0.0603
05,2022-02-01,0.0658
05,2022-03-01,0.0382
05,2022-04-01,0.0592
05,2022-05-01,0.0987
05,2022-06-01,0.0884
05,2022-07-01,0.0772
05,2022-08-01,0.05
05,2022-09-01,0.0732
05,2022-10-01,0.1007
05,2022-11-01,0.0621
05,2022-12-01,0.0766
05,2023-01-01,0.1158
05,2023-02-01,0.1232
05,2023-03-01,0.1172
05,2023-04-01,0.1076
05,2023-05-01,0.0902
05,2023-06-01,0.1243
73,2022-01-01,0.1345
73,2022-02-01,0.1453
73,2022-03-01,0.1678
73,2022-04-01,0.1452
73,2022-05-01,0.1622
73,2022-06-01,0.1346
73,2022-07-01,0.2174
73,2022-08-01,0.1399
73,2022-09-01,0.1845
73,2022-10-01,0.1542
73,2022-11-01,0.1678
73,2022-12-01,0.1684
73,2023-01-01,0.1386
73,2023-02-01,0.16
73,2023-03-01,0.181
73,2023-04-01,0.1868
73,2023-05-01,0.1661
73,2023-06-01,0.1851
81,2022-01-01,0.1464
81,2022-02-01,0.1694
81,2022-03-01,0.1702
81,2022-04-01,0.1974
81,2022-05-01,0.1911
81,2022-06-01,0.1597
81,2022-07-01,0.1943
81,2022-08-01,0.1491
81,2022-09-01,0.1257
81,2022-10-01,0.2148
81,2022-11-01,0.167
81,2022-12-01,0.1798
81,2023-01-01,0.1892
81,2023-02-01,0.2057
81,2023-03-01,0.1656
81,2023-04-01,0.202
81,2023-05-01,0.1967
81,2023-06-01,0.1792
55,2022-01-01,0.2237
55,2022-02-01,0.2109
55,2022-03-01,0.2674
55,2022-04-01,0.2195
55,2022-05-01,0.2459
55,2022-06-01,0.2563
55,2022-07-01,0.2177
55,2022-08-01,0.2443
55,2022-09-01,0.2374
55,2022-10-01,0.2413
55,2022-11-01,0.2265
55,2022-12-01,0.2341
55,2023-01-01,0.2282
55,2023-02-01,0.251
55,2023-03-01,0.2578
55,2023-04-01,0.2301
55,2023-05-01,0.2481
55,2023-06-01,0.2502
14,2022-01-01,0.0811
14,2022-02-01,0.0615
14,2022-03-01,0.0542
14,2022-04-01,0.0694
14,2022-05-01,0.0533
14,2022-06-01,0.0938
14,2022-07-01,0.066
14,2022-08-01,0.0912
14,2022-09-01,0.0924
14,2022-10-01,0.0984
14,2022-11-01,0.1021
14,2022-12-01,0.1119
14,2023-01-01,0.1031
14,2023-02-01,0.1232
14,2023-03-01,0.095
14,2023-04-01,0.1045
14,2023-05-01,0.0824
14,2023-06-01,0.1368
02,2022-01-01,0.1167
02,2022-02-01,0.1685
02,2022-03-01,0.1467
02,2022-04-01,0.1353
02,2022-05-01,0.1946
02,2022-06-01,0.1899
02,2022-07-01,0.1758
02,2022-08-01,0.1473
02,2022-09-01,0.1475
02,2022-10-01,0.2175
02,2022-11-01,0.1936
02,2022-12-01,0.1851
02,2023-01-01,0.2216
02,2023-02-01,0.1746
02,2023-03-01,0.1751
02,2023-04-01,0.2143
02,2023-05-01,0.1762
02,2023-06-01,0.216
07,2022-01-01,0.0543
07,2022-02-01,0.0874
07,2022-03-01,0.1026
07,2022-04-01,0.0963
07,2022-05-01,0.0934
07,2022-06-01,0.0646
07,2022-07-01,0.0562
07,2022-08-01,0.0677
07,2022-09-01,0.0862
07,2022-10-01,0.0981
07,2022-11-01,0.0697
07,2022-12-01,0.0949
07,2023-01-01,0.0403
07,2023-02-01,0.0969
07,2023-03-01,0.1065
07,2023-04-01,0.1299
07,2023-05-01,0.0795
07,2023-06-01,0.1037
38,2022-01-01,0.1976
38,2022-02-01,0.1176
38,2022-03-01,0.1613
38,2022-04-01,0.1985
38,2022-05-01,0.1686
38,2022-06-01,0.1888
38,2022-07-01,0.1652
38,2022-08-01,0.2012
38,2022-09-01,0.161
38,2022-10-01,0.1883
38,2022-11-01,0.2247
38,2022-12-01,0.1998
38,2023-01-01,0.218
38,2023-02-01,0.2132
38,2023-03-01,0.2045
38,2023-04-01,0.2257
38,2023-05-01,0.2065
38,2023-06-01,0.2398
92,2022-01-01,0.2507
92,2022-02-01,0.2329
92,2022-03-01,0.2583
92,2022-04-01,0.2276
92,2022-05-01,0.2388
92,2022-06-01,0.2312
92,2022-07-01,0.2314
92,2022-08-01,0.2274
92,2022-09-01,0.2845
92,2022-10-01,0.244
92,2022-11-01,0.2465
92,2022-12-01,0.2439
92,2023-01-01,0.22
92,2023-02-01,0.2454
92,2023-03-01,0.2644
92,2023-04-01,0.2142
92,2023-05-01,0.2649
92,2023-06-01,0.2314
53,2022-01-01,0.0663
53,2022-02-01,0.0508
53,2022-03-01,0.0399
53,2022-04-01,0.0675
53,2022-05-01,0.1079
53,2022-06-01,0.0882
53,2022-07-01,0.1007
53,2022-08-01,0.085
53,2022-09-01,0.0797
53,2022-10-01,0.1474
53,2022-11-01,0.1169
53,2022-12-01,0.105
53,2023-01-01,0.1458
53,2023-02-01,0.091
53,2023-03-01,0.1239
53,2023-04-01,0.1216
53,2023-05-01,0.1694
53,2023-06-01,0.1459
27,2022-01-01,0.1478
27,2022-02-01,0.1593
27,2022-03-01,0.1921
27,2022-04-01,0.1679
27,2022-05-01,0.192
27,2022-06-01,0.1796
27,2022-07-01,0.1725
27,2022-08-01,0.1842
27,2022-09-01,0.1986
27,2022-10-01,0.1966
27,2022-11-01,0.2037
27,2022-12-01,0.1747
27,2023-01-01,0.1643
27,2023-02-01,0.1753
27,2023-03-01,0.1728
27,2023-04-01,0.1872
27,2023-05-01,0.2066
27,2023-06-01,0.1695
56,2022-01-01,0.1645
56,2022-02-01,0.1959
56,2022-03-01,0.1799
56,2022-04-01,0.1746
56,2022-05-01,0.1428
56,2022-06-01,0.162
56,2022-07-01,0.1915
56,2022-08-01,0.1615
56,2022-09-01,0.171
56,2022-10-01,0.1761
56,2022-11-01,0.1761
56,2022-12-01,0.2282
56,2023-01-01,0.167
56,2023-02-01,0.1914
56,2023-03-01,0.2124
56,2023-04-01,0.1767
56,2023-05-01,0.1827
56,2023-06-01,0.1963
45,2022-01-01,0.1988
45,2022-02-01,0.1993
45,2022-03-01,0.2196
45,2022-04-01,0.2335
45,2022-05-01,0.2151
45,2022-06-01,0.2388
45,2022-07-01,0.253
45,2022-08-01,0.2055
45,2022-09-01,0.2293
45,2022-10-01,0.2181
45,2022-11-01,0.2566
45,2022-12-01,0.2256
45,2023-01-01,0.2278
45,2023-02-01,0.2479
45,2023-03-01,0.2321
45,2023-04-01,0.2562
45,2023-05-01,0.2859
45,2023-06-01,0.2611
67,2022-01-01,0.2376
67,2022-02-01,0.2444
67,2022-03-01,0.2553
67,2022-04-01,0.2716
67,2022-05-01,0.2357
67,2022-06-01,0.2602
67,2022-07-01,0.218
67,2022-08-01,0.2904
67,2022-09-01,0.2441
67,2022-10-01,0.3052
67,2022-11-01,0.2973
67,2022-12-01,0.2992
67,2023-01-01,0.2696
67,2023-02-01,0.2693
67,2023-03-01,0.2739
67,2023-04-01,0.2744
67,2023-05-01,0.3203
67,2023-06-01,0.2935
91,2022-01-01,0.2221
91,2022-02-01,0.2216
91,2022-03-01,0.2109
91,2022-04-01,0.1826
91,2022-05-01,0.2096
91,2022-06-01,0.2079
91,2022-07-01,0.2301
91,2022-08-01,0.2475
91,2022-09-01,0.2117
91,2022-10-01,0.235
91,2022-11-01,0.2383
91,2022-12-01,0.2049
91,2023-01-01,0.2533
91,2023-02-01,0.2402
91,2023-03-01,0.2487
91,2023-04-01,0.246
91,2023-05-01,0.2093
91,2023-06-01,0.2593
41,2022-01-01,0.0568
41,2022-02-01,0.0474
41,2022-03-01,0.035
41,2022-04-01,0.0604
41,2022-05-01,0.0814
41,2022-06-01,0.059
41,2022-07-01,0.0471
41,2022-08-01,0.0781
41,2022-09-01,0.0962
41,2022-10-01,0.0652
41,2022-11-01,0.0854
41,2022-12-01,0.0904
41,2023-01-01,0.0523
41,2023-02-01,0.1058
41,2023-03-01,0.1075
41,2023-04-01,0.0974
41,2023-05-01,0.0951
41,2023-06-01,0.0871
39,2022-01-01,0.2295
39,2022-02-01,0.2665
39,2022-03-01,0.2318
39,2022-04-01,0.2546
39,2022-05-01,0.2218
39,2022-06-01,0.2586
39,2022-07-01,0.2433
39,2022-08-01,0.266
39,2022-09-01,0.2942
39,2022-10-01,0.2412
39,2022-11-01,0.2773
39,2022-12-01,0.2502
39,2023-01-01,0.298
39,2023-02-01,0.3197
39,2023-03-01,0.3256
39,2023-04-01,0.2809
39,2023-05-01,0.2951
39,2023-06-01,0.304
15,2022-01-01,0.1002
15,2022-02-01,0.1073
15,2022-03-01,0.0962
15,2022-04-01,0.0956
15,2022-05-01,0.1195
15,2022-06-01,0.1146
15,2022-07-01,0.1258
15,2022-08-01,0.1107
15,2022-09-01,0.1162
15,2022-10-01,0.1096
15,2022-11-01,0.123
15,2022-12-01,0.1914
15,2023-01-01,0.1307
15,2023-02-01,0.1069
15,2023-03-01,0.1273
